termino;valido;pilar;sectorial;colocacion;justificacion
energy saving;1;E;0;0;energy efficiency measure in environmental disclosure
senior independent director;1;G;0;0;board independence role
climate-related health impact;1;E;1;0;not in sample but valid climate health entry
social dialogue;1;S;0;0;labour relations concept
customer health and nutrition;1;S;1;0;food and retail social topic
esg+f;0;;0;0;single company branded acronym
supplier assessment;1;S;0;1;not in sample needs sustainability qualifier
access to land;1;S;1;0;land rights issue in extractives
short-term incentive;1;G;0;0;remuneration structure
board attendance;1;G;0;0;board functioning indicator
inclusion;1;S;0;1;accounting homograph needs diversity qualifier
crisis management;0;;0;0;generic management prose without ESG charge
health and safety;1;S;0;0;core occupational safety topic
reuse;1;E;0;0;circular economy practice
data protection;1;S;0;0;customer privacy topic
vulnerable group;1;S;0;0;social vulnerability disclosure
board committee;1;G;0;0;board structure
employee training;1;S;0;0;human capital development
sustainability due diligence;1;TRANS;0;0;umbrella process spanning all pillars
energy transition;1;E;0;0;core decarbonisation term
employee well-being;1;S;0;0;not in sample standard workforce wellbeing topic
takeover;0;;0;0;M&A financial vocabulary not ESG
working condition;1;S;0;0;labour standards
waste recycled;1;E;0;0;waste circularity metric
tax policy;1;G;0;0;not in sample responsible tax governance
patient safety;1;S;1;0;pharma product safety topic
three lines of defence;1;G;0;0;not in sample risk governance model spelling variant
carbon neutrality;1;E;0;0;climate commitment
product traceability;1;S;0;0;not in sample supply chain traceability entry
green recovery;1;E;0;0;green policy framing
science based target;1;E;0;0;climate target standard
performance share;1;G;0;1;pay instrument ambiguous without remuneration context
climate change adaptation;1;E;0;0;adaptation pillar of climate action
plastic waste;1;E;0;0;waste and packaging topic
export control;1;G;1;0;trade compliance concentrated in tech and defence
air emission;1;E;0;0;not in sample standard emissions category
voluntary emission reduction certificate;1;E;0;0;carbon instrument
energy mix;1;E;0;0;energy sourcing composition
antitrust;1;G;0;0;competition compliance
emission reduction target;1;E;0;0;climate target
talent development;1;S;0;0;not in sample human capital topic
road safety;1;S;0;0;safety topic beyond own workforce
corporate volunteering;1;S;0;0;not in sample community involvement topic
double materiality;1;TRANS;0;0;CSRD materiality concept
